127.0.0.1 - - [22/Mar/2018:19:10:29 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2018:19:10:30 +0530] "GET /ToDo-App/ HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [22/Mar/2018:19:10:46 +0530] "DELETE /ToDo-App/ HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [22/Mar/2018:19:10:57 +0530] "GET /ToDo-App/ HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [22/Mar/2018:19:11:21 +0530] "DELETE /ToDo-App/delete/1 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [22/Mar/2018:19:13:48 +0530] "GET /ToDo-App/ HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [22/Mar/2018:19:13:48 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Mar/2018:19:14:00 +0530] "GET /ToDo-App/ HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [22/Mar/2018:19:14:13 +0530] "POST /ToDo-App/register HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [22/Mar/2018:19:14:27 +0530] "POST /ToDo-App/register HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [22/Mar/2018:19:16:02 +0530] "GET /ToDo-App/register HTTP/1.1" 405 1114
0:0:0:0:0:0:0:1 - - [22/Mar/2018:19:16:55 +0530] "POST /ToDo-App/register HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [22/Mar/2018:19:17:47 +0530] "POST /ToDo-App/register HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [22/Mar/2018:19:19:19 +0530] "DELETE /ToDo-App/delete/1 HTTP/1.1" 500 1139
